pc_select               	table tag               	table_match             	table tag               	table_match             	table tag               	table_match             	table tag               	table_match             	table tag               	table_match             	table tag               	table_match             	table tag               	table_match             	table tag               	table_match             	
000011100010            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000110101011            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000101011011            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000101100000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000101100011            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000101100111            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000100010011            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000100010011            	000000000001            	000000000000            	000000000000            	000100010011            	000000000001            	
000101011000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000101011000            	000000000001            	000000000000            	000000000000            	000101011000            	000000000001            	
000110011000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000110011000            	000000000001            	000000000000            	000000000000            	000110011000            	000000000001            	
000110100101            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000110100110            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
